Sl. No.,Heads of Crime,For 2025
1,ANTIQUES (CULTURAL PROPERTY),
,Antiques & Art Treasures Act 1972,0
,Ancient Monument & Archaelogical Sites And Remains Act 1958,5
,Sub Total,5
2,ARMS ACT 1959,
,Country Made - Non Prohibited Bore - In Disturbed Area,21
,Country Made - Non Prohibited Bore - In Other Area,151
,Country Made - Prohibited Bore - In Disturbed Area,19
,Country Made - Prohibited Bore - In Other Area,119
,Factory Made - Non Prohibited Bore - In Disturbed Area,7
,Factory Made - Non Prohibited Bore - In Other Area,34
,Factory Made - Prohibited Bore - In Disturbed Area,12
,Factory Made - Prohibited Bore - In Other Area,46
,Sub Total,409
3,ANIMAL,
,The Karnataka Prevention of Slaughter and Preservation of Cattle Ordinance 2020,154
,Wild Life Preservation Act 1972,0
,Wild Life Protection Act 1972,3
,Prevention of Cruelty to Animals Act 1960,260
,Elephant (Preservation) Act 1879,0
,Cattle Tresspass Act 1871,3
,Sub Total,420
4,CINEMATOGRAPHY ACT 1952,
,Films,0
,Video,0
,Sub Total,0
5,CONSUMER,
,Liquified Petroleum Gas Supply & Control Order 2000,86
,Consumer (Protection) Act 1986,7
,Essential Commodities Act 1955,774
,Prevention of Food Adulternation Act 1954,2
,Packaged Commodities (Regulation) order 1975,0
,Sub Total,869
6,COPY RIGHT ACT 1957,
,By Company,141
,By Individual,74
,Sub Total,215
7,CIVIL RIGHTS,
,Protection of Civil Rights Act 1955,6
,Sub Total,6
8,SCHEDULED CASTE AND THE SCHEDULED TRIBES,
,Scheduled Caste,1355
,Scheduled Tribes,318
,Scheduled Caste Women,590
,Scheduled Tribes Women,148
,Sub Total,2411
9,CHILDREN ACT,
,Child Labour (Prohibition & Regulation) Act1986,78
,Child Marriage (Restraint) Act - 1929,197
,Juvenile Justice Act 1986,151
,Probation of offenders Act 1958,0
,Protection of Children from Sexual Offences Act 2012 (POCSO),0
,Sub Total,426
10,PREVENTION OF CORRUPTION ACT 1988,
,Public Servant - Elected,0
,Public Servant - Gazetted - Central,1
,Public Servant - Gazetted - Defence,0
,Public Servant - Gazetted - Public Sector Undertaking,0
,Public Servant - Gazetted - State,1
,Public Servant - Non-Gazetted - Central,0
,Public Servant - Non-Gazetted - Defence,0
,Public Servant - Non-Gazetted - State,0
,Sub Total,2
11,CUSTOMS,
,Customs Act 1962,0
,Import/Export (Control) Act 1947,0
,Sub Total,0
12,Explosives,
,Explosives Substances Act 1908,42
,Explosives Act 1884,99
,Inflammable Substance Act 1952,0
,Sub Total,141
13,FOREIGN EXCHANGE,
,Smugglers and Foreign Exchange Manipulator Act 1976,0
,Foreign Exchange Regulation Act 1973,0
,Foreign Exchange Regulation Act 1952,0
,Sub Total,0
14,FOREIGNER,
,Foreigners Act 1946,116
,Registration of Foreigners Act 1939,0
,Sub Total,116
15,FOREST,
,Indian Forest Act 1927,1
,Forest (Conservation) Act 1980,11
,Sub Total,12
16,HIJACKING,
,Foreign Aircraft - In India,0
,Foreign Aircraft - Outside India,0
,Indian Aircraft - In India,0
,Indian Aircraft - Outside India,0
,Sub Total,0
17,IMMORAL TRAFFIC,
,Organised,206
,Un-Organised,110
,Sub Total,316
